Symbol	EntrezID	Family	Species	Protein_have_DBD
BARHL1	56751	Homeobox	Homo sapiens	BarH like homeobox 1 (BARHL1)
BARHL2	343472	Homeobox	Homo sapiens	BarH like homeobox 2 (BARHL2)
BARX1	56033	Homeobox	Homo sapiens	BARX homeobox 1 (BARX1)
BARX2	8538	Homeobox	Homo sapiens	BARX homeobox 2 (BARX2)
BSX	390259	Homeobox	Homo sapiens	brain specific homeobox (BSX)
CDX1	1044	Homeobox	Homo sapiens	caudal type homeobox 1 (CDX1)
CDX2	1045	Homeobox	Homo sapiens	caudal type homeobox 2 (CDX2)
CDX4	1046	Homeobox	Homo sapiens	caudal type homeobox 4 (CDX4)
CERS3	204219	Homeobox	Homo sapiens	ceramide synthase 3 (CERS3)
CERS4	79603	Homeobox	Homo sapiens	ceramide synthase 4 (CERS4)
CERS5	91012	Homeobox	Homo sapiens	ceramide synthase 5 (CERS5)
CERS6	253782	Homeobox	Homo sapiens	ceramide synthase 6 (CERS6)
DBX1	120237	Homeobox	Homo sapiens	developing brain homeobox 1 (DBX1)
DBX2	440097	Homeobox	Homo sapiens	developing brain homeobox 2 (DBX2)
DLX1	1745	Homeobox	Homo sapiens	distal-less homeobox 1 (DLX1)
DLX2	1746	Homeobox	Homo sapiens	distal-less homeobox 2 (DLX2)
DLX3	1747	Homeobox	Homo sapiens	distal-less homeobox 3 (DLX3)
DLX4	1748	Homeobox	Homo sapiens	distal-less homeobox 4 (DLX4)
DLX5	1749	Homeobox	Homo sapiens	distal-less homeobox 5 (DLX5)
DLX6	1750	Homeobox	Homo sapiens	distal-less homeobox 6 (DLX6)
DMBX1	127343	Homeobox	Homo sapiens	diencephalon/mesencephalon homeobox 1 (DMBX1)
DPRX	503834	Homeobox	Homo sapiens	divergent-paired related homeobox (DPRX)
DRGX	644168	Homeobox	Homo sapiens	dorsal root ganglia homeobox (DRGX)
DUX4L1	22947	Homeobox	Homo sapiens	double homeobox 4 like 1 (DUX4L1)
DUX4L2	728410	Homeobox	Homo sapiens	double homeobox 4 like 2 (DUX4L2)
DUX4L3	653548	Homeobox	Homo sapiens	double homeobox 4 like 3 (DUX4L3)
DUX4L4	441056	Homeobox	Homo sapiens	double homeobox 4 like 4 (DUX4L4)
DUX4L5	653545	Homeobox	Homo sapiens	double homeobox 4 like 5 (DUX4L5)
DUX4L6	653544	Homeobox	Homo sapiens	double homeobox 4 like 6 (DUX4L6)
DUX4L7	653543	Homeobox	Homo sapiens	double homeobox 4 like 7 (DUX4L7)
DUXA	503835	Homeobox	Homo sapiens	double homeobox A (DUXA)
EMX1	2016	Homeobox	Homo sapiens	empty spiracles homeobox 1 (EMX1)
EMX2	2018	Homeobox	Homo sapiens	empty spiracles homeobox 2 (EMX2)
EN1	2019	Homeobox	Homo sapiens	engrailed homeobox 1 (EN1)
EN2	2020	Homeobox	Homo sapiens	engrailed homeobox 2 (EN2)
ESX1	80712	Homeobox	Homo sapiens	ESX homeobox 1 (ESX1)
EVX1	2128	Homeobox	Homo sapiens	even-skipped homeobox 1 (EVX1)
EVX2	344191	Homeobox	Homo sapiens	even-skipped homeobox 2 (EVX2)
GBX1	2636	Homeobox	Homo sapiens	gastrulation brain homeobox 1 (GBX1)
GBX2	2637	Homeobox	Homo sapiens	gastrulation brain homeobox 2 (GBX2)
GSC	145258	Homeobox	Homo sapiens	goosecoid homeobox (GSC)
GSC2	2928	Homeobox	Homo sapiens	goosecoid homeobox 2 (GSC2)
GSX1	219409	Homeobox	Homo sapiens	GS homeobox 1 (GSX1)
GSX2	170825	Homeobox	Homo sapiens	GS homeobox 2 (GSX2)
HDX	139324	Homeobox	Homo sapiens	highly divergent homeobox (HDX)
HESX1	8820	Homeobox	Homo sapiens	HESX homeobox 1 (HESX1)
HHEX	3087	Homeobox	Homo sapiens	hematopoietically expressed homeobox (HHEX)
HLX	3142	Homeobox	Homo sapiens	H2.0-like homeobox (HLX)
HMBOX1	79618	Homeobox	Homo sapiens	homeobox containing 1 (HMBOX1)
HMX1	3166	Homeobox	Homo sapiens	H6 family homeobox 1 (HMX1)
HMX2	3167	Homeobox	Homo sapiens	H6 family homeobox 2 (HMX2)
HMX3	340784	Homeobox	Homo sapiens	H6 family homeobox 3 (HMX3)
HNF1A	6927	Homeobox	Homo sapiens	HNF1 homeobox A (HNF1A)
HNF1B	6928	Homeobox	Homo sapiens	HNF1 homeobox B (HNF1B)
HOMEZ	57594	Homeobox	Homo sapiens	homeobox and leucine zipper encoding (HOMEZ)
HOXA1	3198	Homeobox	Homo sapiens	homeobox A1 (HOXA1)
HOXA10	3206	Homeobox	Homo sapiens	homeobox A10 (HOXA10)
HOXA11	3207	Homeobox	Homo sapiens	homeobox A11 (HOXA11)
HOXA13	3209	Homeobox	Homo sapiens	homeobox A13 (HOXA13)
HOXA2	3199	Homeobox	Homo sapiens	homeobox A2 (HOXA2)
HOXA3	3200	Homeobox	Homo sapiens	homeobox A3 (HOXA3)
HOXA4	3201	Homeobox	Homo sapiens	homeobox A4 (HOXA4)
HOXA5	3202	Homeobox	Homo sapiens	homeobox A5 (HOXA5)
HOXA6	3203	Homeobox	Homo sapiens	homeobox A6 (HOXA6)
HOXA7	3204	Homeobox	Homo sapiens	homeobox A7 (HOXA7)
HOXA9	3205	Homeobox	Homo sapiens	homeobox A9 (HOXA9)
HOXB1	3211	Homeobox	Homo sapiens	homeobox B1 (HOXB1)
HOXB13	10481	Homeobox	Homo sapiens	homeobox B13 (HOXB13)
HOXB2	3212	Homeobox	Homo sapiens	homeobox B2 (HOXB2)
HOXB3	3213	Homeobox	Homo sapiens	homeobox B3 (HOXB3)
HOXB4	3214	Homeobox	Homo sapiens	homeobox B4 (HOXB4)
HOXB5	3215	Homeobox	Homo sapiens	homeobox B5 (HOXB5)
HOXB6	3216	Homeobox	Homo sapiens	homeobox B6 (HOXB6)
HOXB7	3217	Homeobox	Homo sapiens	homeobox B7 (HOXB7)
HOXB8	3218	Homeobox	Homo sapiens	homeobox B8 (HOXB8)
HOXB9	3219	Homeobox	Homo sapiens	homeobox B9 (HOXB9)
HOXC10	3226	Homeobox	Homo sapiens	homeobox C10 (HOXC10)
HOXC12	3228	Homeobox	Homo sapiens	homeobox C12 (HOXC12)
HOXC13	3229	Homeobox	Homo sapiens	homeobox C13 (HOXC13)
HOXC4	3221	Homeobox	Homo sapiens	homeobox C4 (HOXC4)
HOXC5	3222	Homeobox	Homo sapiens	homeobox C5 (HOXC5)
HOXC6	3223	Homeobox	Homo sapiens	homeobox C6 (HOXC6)
HOXC8	3224	Homeobox	Homo sapiens	homeobox C8 (HOXC8)
HOXC9	3225	Homeobox	Homo sapiens	homeobox C9 (HOXC9)
HOXD1	3231	Homeobox	Homo sapiens	homeobox D1 (HOXD1)
HOXD10	3236	Homeobox	Homo sapiens	homeobox D10 (HOXD10)
HOXD11	3237	Homeobox	Homo sapiens	homeobox D11 (HOXD11)
HOXD12	3238	Homeobox	Homo sapiens	homeobox D12 (HOXD12)
HOXD13	3239	Homeobox	Homo sapiens	homeobox D13 (HOXD13)
HOXD3	3232	Homeobox	Homo sapiens	homeobox D3 (HOXD3)
HOXD4	3233	Homeobox	Homo sapiens	homeobox D4 (HOXD4)
HOXD8	3234	Homeobox	Homo sapiens	homeobox D8 (HOXD8)
HOXD9	3235	Homeobox	Homo sapiens	homeobox D9 (HOXD9)
IRX1	79192	Homeobox	Homo sapiens	iroquois homeobox 1 (IRX1)
IRX2	153572	Homeobox	Homo sapiens	iroquois homeobox 2 (IRX2)
IRX3	79191	Homeobox	Homo sapiens	iroquois homeobox 3 (IRX3)
IRX4	50805	Homeobox	Homo sapiens	iroquois homeobox 4 (IRX4)
IRX5	10265	Homeobox	Homo sapiens	iroquois homeobox 5 (IRX5)
IRX6	79190	Homeobox	Homo sapiens	iroquois homeobox 6 (IRX6)
ISL1	3670	Homeobox	Homo sapiens	ISL LIM homeobox 1 (ISL1)
ISL2	64843	Homeobox	Homo sapiens	ISL LIM homeobox 2 (ISL2)
ISX	91464	Homeobox	Homo sapiens	intestine specific homeobox (ISX)
LBX1	10660	Homeobox	Homo sapiens	ladybird homeobox 1 (LBX1)
LBX2	85474	Homeobox	Homo sapiens	ladybird homeobox 2 (LBX2)
LEUTX	342900	Homeobox	Homo sapiens	leucine twenty homeobox (LEUTX)
LHX1	3975	Homeobox	Homo sapiens	LIM homeobox 1 (LHX1)
LHX2	9355	Homeobox	Homo sapiens	LIM homeobox 2 (LHX2)
LHX3	8022	Homeobox	Homo sapiens	LIM homeobox 3 (LHX3)
LHX4	89884	Homeobox	Homo sapiens	LIM homeobox 4 (LHX4)
LHX5	64211	Homeobox	Homo sapiens	LIM homeobox 5 (LHX5)
LHX6	26468	Homeobox	Homo sapiens	LIM homeobox 6 (LHX6)
LHX8	431707	Homeobox	Homo sapiens	LIM homeobox 8 (LHX8)
LHX9	56956	Homeobox	Homo sapiens	LIM homeobox 9 (LHX9)
LMX1A	4009	Homeobox	Homo sapiens	LIM homeobox transcription factor 1 alpha (LMX1A)
LMX1B	4010	Homeobox	Homo sapiens	LIM homeobox transcription factor 1 beta (LMX1B)
MEIS1	4211	Homeobox	Homo sapiens	Meis homeobox 1 (MEIS1)
MEIS2	4212	Homeobox	Homo sapiens	Meis homeobox 2 (MEIS2)
MEIS3	56917	Homeobox	Homo sapiens	Meis homeobox 3 (MEIS3)
MEOX1	4222	Homeobox	Homo sapiens	mesenchyme homeobox 1 (MEOX1)
MEOX2	4223	Homeobox	Homo sapiens	mesenchyme homeobox 2 (MEOX2)
MIXL1	83881	Homeobox	Homo sapiens	Mix paired-like homeobox (MIXL1)
MNX1	3110	Homeobox	Homo sapiens	motor neuron and pancreas homeobox 1 (MNX1)
MSX1	4487	Homeobox	Homo sapiens	msh homeobox 1 (MSX1)
MSX2	4488	Homeobox	Homo sapiens	msh homeobox 2 (MSX2)
NANOG	79923	Homeobox	Homo sapiens	Nanog homeobox (NANOG)
NKX1-2	390010	Homeobox	Homo sapiens	NK1 homeobox 2 (NKX1-2)
NKX2-1	7080	Homeobox	Homo sapiens	NK2 homeobox 1 (NKX2-1)
NKX2-2	4821	Homeobox	Homo sapiens	NK2 homeobox 2 (NKX2-2)
NKX2-3	159296	Homeobox	Homo sapiens	NK2 homeobox 3 (NKX2-3)
NKX2-4	644524	Homeobox	Homo sapiens	NK2 homeobox 4 (NKX2-4)
NKX2-5	1482	Homeobox	Homo sapiens	NK2 homeobox 5 (NKX2-5)
NKX2-6	137814	Homeobox	Homo sapiens	NK2 homeobox 6 (NKX2-6)
NKX2-8	26257	Homeobox	Homo sapiens	NK2 homeobox 8 (NKX2-8)
NKX3-1	4824	Homeobox	Homo sapiens	NK3 homeobox 1 (NKX3-1)
NKX3-2	579	Homeobox	Homo sapiens	NK3 homeobox 2 (NKX3-2)
NKX6-1	4825	Homeobox	Homo sapiens	NK6 homeobox 1 (NKX6-1)
NKX6-2	84504	Homeobox	Homo sapiens	NK6 homeobox 2 (NKX6-2)
NKX6-3	157848	Homeobox	Homo sapiens	NK6 homeobox 3 (NKX6-3)
NOBOX	135935	Homeobox	Homo sapiens	NOBOX oogenesis homeobox (NOBOX)
NOTO	344022	Homeobox	Homo sapiens	notochord homeobox (NOTO)
OTP	23440	Homeobox	Homo sapiens	orthopedia homeobox (OTP)
PBX1	5087	Homeobox	Homo sapiens	pre-B-cell leukemia homeobox 1 (PBX1)
PBX2	5089	Homeobox	Homo sapiens	pre-B-cell leukemia homeobox 2 (PBX2)
PBX3	5090	Homeobox	Homo sapiens	pre-B-cell leukemia homeobox 3 (PBX3)
PBX4	80714	Homeobox	Homo sapiens	pre-B-cell leukemia homeobox 4 (PBX4)
PDX1	3651	Homeobox	Homo sapiens	pancreatic and duodenal homeobox 1 (PDX1)
PHOX2A	401	Homeobox	Homo sapiens	paired like homeobox 2a (PHOX2A)
PHOX2B	8929	Homeobox	Homo sapiens	paired like homeobox 2b (PHOX2B)
PITX1	5307	Homeobox	Homo sapiens	paired like homeodomain 1 (PITX1)
PITX2	5308	Homeobox	Homo sapiens	paired like homeodomain 2 (PITX2)
PITX3	5309	Homeobox	Homo sapiens	paired like homeodomain 3 (PITX3)
PKNOX1	5316	Homeobox	Homo sapiens	PBX/knotted 1 homeobox 1 (PKNOX1)
PKNOX2	63876	Homeobox	Homo sapiens	PBX/knotted 1 homeobox 2 (PKNOX2)
PROP1	5626	Homeobox	Homo sapiens	PROP paired-like homeobox 1 (PROP1)
PRRX1	5396	Homeobox	Homo sapiens	paired related homeobox 1 (PRRX1)
PRRX2	51450	Homeobox	Homo sapiens	paired related homeobox 2 (PRRX2)
RAX	30062	Homeobox	Homo sapiens	retina and anterior neural fold homeobox (RAX)
RAX2	84839	Homeobox	Homo sapiens	retina and anterior neural fold homeobox 2 (RAX2)
RHOXF1	158800	Homeobox	Homo sapiens	Rhox homeobox family member 1 (RHOXF1)
RHOXF2	84528	Homeobox	Homo sapiens	Rhox homeobox family member 2 (RHOXF2)
RHOXF2B	727940	Homeobox	Homo sapiens	Rhox homeobox family member 2B (RHOXF2B)
SEBOX	645832	Homeobox	Homo sapiens	SEBOX homeobox (SEBOX)
SHOX	6473	Homeobox	Homo sapiens	short stature homeobox (SHOX)
SHOX2	6474	Homeobox	Homo sapiens	short stature homeobox 2 (SHOX2)
SIX1	6495	Homeobox	Homo sapiens	SIX homeobox 1 (SIX1)
SIX2	10736	Homeobox	Homo sapiens	SIX homeobox 2 (SIX2)
SIX3	6496	Homeobox	Homo sapiens	SIX homeobox 3 (SIX3)
SIX4	51804	Homeobox	Homo sapiens	SIX homeobox 4 (SIX4)
SIX5	147912	Homeobox	Homo sapiens	SIX homeobox 5 (SIX5)
SIX6	4990	Homeobox	Homo sapiens	SIX homeobox 6 (SIX6)
TGIF1	7050	Homeobox	Homo sapiens	TGFB induced factor homeobox 1 (TGIF1)
TGIF2	60436	Homeobox	Homo sapiens	TGFB induced factor homeobox 2 (TGIF2)
TGIF2LX	90316	Homeobox	Homo sapiens	TGFB induced factor homeobox 2 like, X-linked (TGIF2LX)
TGIF2LY	90655	Homeobox	Homo sapiens	TGFB induced factor homeobox 2 like, Y-linked (TGIF2LY)
TLX1	3195	Homeobox	Homo sapiens	T-cell leukemia homeobox 1 (TLX1)
TLX2	3196	Homeobox	Homo sapiens	T-cell leukemia homeobox 2 (TLX2)
TLX3	30012	Homeobox	Homo sapiens	T-cell leukemia homeobox 3 (TLX3)
TPRX1	284355	Homeobox	Homo sapiens	tetra-peptide repeat homeobox 1 (TPRX1)
UNCX	340260	Homeobox	Homo sapiens	UNC homeobox (UNCX)
VAX1	11023	Homeobox	Homo sapiens	ventral anterior homeobox 1 (VAX1)
VAX2	25806	Homeobox	Homo sapiens	ventral anterior homeobox 2 (VAX2)
VENTX	27287	Homeobox	Homo sapiens	VENT homeobox (VENTX)
VSX1	30813	Homeobox	Homo sapiens	visual system homeobox 1 (VSX1)
VSX2	338917	Homeobox	Homo sapiens	visual system homeobox 2 (VSX2)
ZFHX2	85446	Homeobox	Homo sapiens	zinc finger homeobox 2 (ZFHX2)
ZFHX3	463	Homeobox	Homo sapiens	zinc finger homeobox 3 (ZFHX3)
ZFHX4	79776	Homeobox	Homo sapiens	zinc finger homeobox 4 (ZFHX4)
ZHX1	11244	Homeobox	Homo sapiens	zinc fingers and homeoboxes 1 (ZHX1)
ZHX2	22882	Homeobox	Homo sapiens	zinc fingers and homeoboxes 2 (ZHX2)
ZHX3	23051	Homeobox	Homo sapiens	zinc fingers and homeoboxes 3 (ZHX3)
PROX1	5629	HPD	Homo sapiens	prospero homeobox 1 (PROX1)
PROX2	283571	HPD	Homo sapiens	prospero homeobox 2 (PROX2)
HSF1	3297	HSF	Homo sapiens	heat shock transcription factor 1 (HSF1)
HSF2	3298	HSF	Homo sapiens	heat shock transcription factor 2 (HSF2)
HSF4	3299	HSF	Homo sapiens	heat shock transcription factor 4 (HSF4)
HSF5	124535	HSF	Homo sapiens	heat shock transcription factor family member 5 (HSF5)
HSFX1	100506164	HSF	Homo sapiens	heat shock transcription factor family, X-linked 1 (HSFX1)
HSFX2	100130086	HSF	Homo sapiens	heat shock transcription factor family, X-linked 2 (HSFX2)
HSFY1	86614	HSF	Homo sapiens	heat shock transcription factor, Y-linked 1 (HSFY1)
HSFY2	159119	HSF	Homo sapiens	heat shock transcription factor, Y-linked 2 (HSFY2)
LCOR	84458	HTH	Homo sapiens	ligand dependent nuclear receptor corepressor (LCOR)
LCORL	254251	HTH	Homo sapiens	ligand dependent nuclear receptor corepressor like (LCORL)
IRF1	3659	IRF	Homo sapiens	interferon regulatory factor 1 (IRF1)
IRF2	3660	IRF	Homo sapiens	interferon regulatory factor 2 (IRF2)
IRF3	3661	IRF	Homo sapiens	interferon regulatory factor 3 (IRF3)
IRF4	3662	IRF	Homo sapiens	interferon regulatory factor 4 (IRF4)
IRF5	3663	IRF	Homo sapiens	interferon regulatory factor 5 (IRF5)
IRF6	3664	IRF	Homo sapiens	interferon regulatory factor 6 (IRF6)
IRF7	3665	IRF	Homo sapiens	interferon regulatory factor 7 (IRF7)
IRF8	3394	IRF	Homo sapiens	interferon regulatory factor 8 (IRF8)
IRF9	10379	IRF	Homo sapiens	interferon regulatory factor 9 (IRF9)
BAZ2A	11176	MBD	Homo sapiens	bromodomain adjacent to zinc finger domain 2A (BAZ2A)
BAZ2B	29994	MBD	Homo sapiens	bromodomain adjacent to zinc finger domain 2B (BAZ2B)
MBD1	4152	MBD	Homo sapiens	methyl-CpG binding domain protein 1 (MBD1)
MBD2	8932	MBD	Homo sapiens	methyl-CpG binding domain protein 2 (MBD2)
MBD3	53615	MBD	Homo sapiens	methyl-CpG binding domain protein 3 (MBD3)
MBD4	8930	MBD	Homo sapiens	methyl-CpG binding domain 4 DNA glycosylase (MBD4)
MECP2	4204	MBD	Homo sapiens	methyl-CpG binding protein 2 (MECP2)
SETDB1	9869	MBD	Homo sapiens	SET domain bifurcated 1 (SETDB1)
SETDB2	83852	MBD	Homo sapiens	SET domain bifurcated 2 (SETDB2)
SMAD1	4086	MH1	Homo sapiens	SMAD family member 1 (SMAD1)
SMAD2	4087	MH1	Homo sapiens	SMAD family member 2 (SMAD2)
SMAD3	4088	MH1	Homo sapiens	SMAD family member 3 (SMAD3)
SMAD4	4089	MH1	Homo sapiens	SMAD family member 4 (SMAD4)
SMAD5	4090	MH1	Homo sapiens	SMAD family member 5 (SMAD5)
SMAD6	4091	MH1	Homo sapiens	SMAD family member 6 (SMAD6)
SMAD7	4092	MH1	Homo sapiens	SMAD family member 7 (SMAD7)
SMAD9	4093	MH1	Homo sapiens	SMAD family member 9 (SMAD9)
NR0B1	190	Miscellaneous	Homo sapiens	nuclear receptor subfamily 0 group B member 1 (NR0B1)
NR0B2	8431	Miscellaneous	Homo sapiens	nuclear receptor subfamily 0 group B member 2 (NR0B2)
CCDC79	283847	MYB	Homo sapiens	coiled-coil domain containing 79 (CCDC79)
CDC5L	988	MYB	Homo sapiens	cell division cycle 5 like (CDC5L)
DMTF1	9988	MYB	Homo sapiens	cyclin D binding myb like transcription factor 1 (DMTF1)
DNAJC1	64215	MYB	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C1 (DNAJC1)
DNAJC2	27000	MYB	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C2 (DNAJC2)
MYB	4602	MYB	Homo sapiens	MYB proto-oncogene, transcription factor (MYB)
MYBL1	4603	MYB	Homo sapiens	MYB proto-oncogene like 1 (MYBL1)
MYBL2	4605	MYB	Homo sapiens	MYB proto-oncogene like 2 (MYBL2)
MYSM1	114803	MYB	Homo sapiens	Myb like, SWIRM and MPN domains 1 (MYSM1)
NCOR1	9611	MYB	Homo sapiens	nuclear receptor corepressor 1 (NCOR1)
NCOR2	9612	MYB	Homo sapiens	nuclear receptor corepressor 2 (NCOR2)
RCOR1	23186	MYB	Homo sapiens	REST corepressor 1 (RCOR1)
RCOR2	283248	MYB	Homo sapiens	REST corepressor 2 (RCOR2)
RCOR3	55758	MYB	Homo sapiens	REST corepressor 3 (RCOR3)
SMARCC1	6599	MYB	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 (SMARCC1)
SMARCC2	6601	MYB	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2 (SMARCC2)
SNAPC4	6621	MYB	Homo sapiens	small nuclear RNA activating complex polypeptide 4 (SNAPC4)
TADA2A	6871	MYB	Homo sapiens	transcriptional adaptor 2A (TADA2A)
TADA2B	93624	MYB	Homo sapiens	transcriptional adaptor 2B (TADA2B)
TERF1	7013	MYB	Homo sapiens	telomeric repeat binding factor (NIMA-interacting) 1 (TERF1)
TERF2	7014	MYB	Homo sapiens	telomeric repeat binding factor 2 (TERF2)
TTF1	7270	MYB	Homo sapiens	transcription termination factor, RNA polymerase I (TTF1)
ZZZ3	26009	MYB	Homo sapiens	zinc finger ZZ-type containing 3 (ZZZ3)
GLMP	112770	NCU-G1	Homo sapiens	glycosylated lysosomal membrane protein (GLMP)
MYRF	745	NDT80/PhoG	Homo sapiens	myelin regulatory factor (MYRF)
NFYA	4800	NF-YA	Homo sapiens	nuclear transcription factor Y subunit alpha (NFYA)
NFYB	4801	NF-YB	Homo sapiens	nuclear transcription factor Y subunit beta (NFYB)
NFYC	4802	NF-YC	Homo sapiens	nuclear transcription factor Y subunit gamma (NFYC)
NR4A1	3164	NGFIB-like	Homo sapiens	nuclear receptor subfamily 4 group A member 1 (NR4A1)
NR4A2	4929	NGFIB-like	Homo sapiens	nuclear receptor subfamily 4 group A member 2 (NR4A2)
NR4A3	8013	NGFIB-like	Homo sapiens	nuclear receptor subfamily 4 group A member 3 (NR4A3)
NRF1	4899	Nrf1	Homo sapiens	nuclear respiratory factor 1 (NRF1)
ADNP2	22850	Others	Homo sapiens	ADNP homeobox 2 (ADNP2)
ANKRD30A	91074	Others	Homo sapiens	ankyrin repeat domain 30A (ANKRD30A)
ASH1L	55870	Others	Homo sapiens	ash1 (absent, small, or homeotic)-like (Drosophila) (ASH1L)
BCLAF1	9774	Others	Homo sapiens	BCL2 associated transcription factor 1 (BCLAF1)
BLZF1	8548	Others	Homo sapiens	basic leucine zipper nuclear factor 1 (BLZF1)
BNC1	646	Others	Homo sapiens	basonuclin 1 (BNC1)
CAPN15	6650	Others	Homo sapiens	calpain 15 (CAPN15)
CARF	79800	Others	Homo sapiens	calcium responsive transcription factor (CARF)
CASZ1	54897	Others	Homo sapiens	castor zinc finger 1 (CASZ1)
CEBPZ	10153	Others	Homo sapiens	CCAAT/enhancer binding protein zeta (CEBPZ)
CIZ1	25792	Others	Homo sapiens	CDKN1A interacting zinc finger protein 1 (CIZ1)
CNBP	7555	Others	Homo sapiens	CCHC-type zinc finger, nucleic acid binding protein (CNBP)
CREBL2	1389	Others	Homo sapiens	cAMP responsive element binding protein-like 2 (CREBL2)
DACH1	1602	Others	Homo sapiens	dachshund family transcription factor 1 (DACH1)
DACH2	117154	Others	Homo sapiens	dachshund family transcription factor 2 (DACH2)
DPF2	5977	Others	Homo sapiens	double PHD fingers 2 (DPF2)
EPAS1	2034	Others	Homo sapiens	endothelial PAS domain protein 1 (EPAS1)
FUBP1	8880	Others	Homo sapiens	far upstream element binding protein 1 (FUBP1)
GABPB1	2553	Others	Homo sapiens	GA binding protein transcription factor, beta subunit 1 (GABPB1)
GATAD2A	54815	Others	Homo sapiens	GATA zinc finger domain containing 2A (GATAD2A)
GCFC2	6936	Others	Homo sapiens	GC-rich sequence DNA-binding factor 2 (GCFC2)
GON4L	54856	Others	Homo sapiens	gon-4-like (C. elegans) (GON4L)
HIF1A	3091	Others	Homo sapiens	hypoxia inducible factor 1 alpha subunit (HIF1A)
HIF3A	64344	Others	Homo sapiens	hypoxia inducible factor 3 alpha subunit (HIF3A)
HMGN3	9324	Others	Homo sapiens	high mobility group nucleosomal binding domain 3 (HMGN3)
HOXC11	3227	Others	Homo sapiens	homeobox C11 (HOXC11)
IKZF5	64376	Others	Homo sapiens	IKAROS family zinc finger 5 (IKZF5)
LZTR1	8216	Others	Homo sapiens	leucine-zipper-like transcription regulator 1 (LZTR1)
MAEL	84944	Others	Homo sapiens	maelstrom spermatogenic transposon silencer (MAEL)
MIER1	57708	Others	Homo sapiens	MIER1 transcriptional regulator (MIER1)
MIER3	166968	Others	Homo sapiens	MIER family member 3 (MIER3)
MKX	283078	Others	Homo sapiens	mohawk homeobox (MKX)
MLLT1	4298	Others	Homo sapiens	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1 (MLLT1)
MLLT10	8028	Others	Homo sapiens	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10 (MLLT10)
MYEF2	50804	Others	Homo sapiens	myelin expression factor 2 (MYEF2)
NFRKB	4798	Others	Homo sapiens	nuclear factor related to kappaB binding protein (NFRKB)
NKRF	55922	Others	Homo sapiens	NFKB repressing factor (NKRF)
NME2	4831	Others	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 2 (NME2)
NOCT	25819	Others	Homo sapiens	nocturnin (NOCT)
NPAS1	4861	Others	Homo sapiens	neuronal PAS domain protein 1 (NPAS1)
NPAS4	266743	Others	Homo sapiens	neuronal PAS domain protein 4 (NPAS4)
PARP1	142	Others	Homo sapiens	poly (ADP-ribose) polymerase 1 (PARP1)
PAXBP1	94104	Others	Homo sapiens	PAX3 and PAX7 binding protein 1 (PAXBP1)
PREB	10113	Others	Homo sapiens	prolactin regulatory element binding (PREB)
PURA	5813	Others	Homo sapiens	purine-rich element binding protein A (PURA)
PURB	5814	Others	Homo sapiens	purine-rich element binding protein B (PURB)
RFXANK	8625	Others	Homo sapiens	regulatory factor X associated ankyrin containing protein (RFXANK)
SIM2	6493	Others	Homo sapiens	single-minded family bHLH transcription factor 2 (SIM2)
SLC2A4RG	56731	Others	Homo sapiens	SLC2A4 regulator (SLC2A4RG)
SPZ1	84654	Others	Homo sapiens	spermatogenic leucine zipper 1 (SPZ1)
TBP	6908	Others	Homo sapiens	TATA-box binding protein (TBP)
TCF19	6941	Others	Homo sapiens	transcription factor 19 (TCF19)
TCF25	22980	Others	Homo sapiens	transcription factor 25 (basic helix-loop-helix) (TCF25)
TMF1	7110	Others	Homo sapiens	TATA element modulatory factor 1 (TMF1)
TSHZ2	128553	Others	Homo sapiens	teashirt zinc finger homeobox 2 (TSHZ2)
YEATS4	8089	Others	Homo sapiens	YEATS domain containing 4 (YEATS4)
ZFP36L1	677	Others	Homo sapiens	ZFP36 ring finger protein-like 1 (ZFP36L1)
ZFP36L2	678	Others	Homo sapiens	ZFP36 ring finger protein-like 2 (ZFP36L2)
TP53	7157	P53	Homo sapiens	tumor protein p53 (TP53)
TP63	8626	P53	Homo sapiens	tumor protein p63 (TP63)
TP73	7161	P53	Homo sapiens	tumor protein p73 (TP73)
PAX1	5075	PAX	Homo sapiens	paired box 1 (PAX1)
PAX2	5076	PAX	Homo sapiens	paired box 2 (PAX2)
PAX3	5077	PAX	Homo sapiens	paired box 3 (PAX3)
PAX4	5078	PAX	Homo sapiens	paired box 4 (PAX4)
PAX5	5079	PAX	Homo sapiens	paired box 5 (PAX5)
PAX6	5080	PAX	Homo sapiens	paired box 6 (PAX6)
PAX7	5081	PAX	Homo sapiens	paired box 7 (PAX7)
PAX8	7849	PAX	Homo sapiens	paired box 8 (PAX8)
PAX9	5083	PAX	Homo sapiens	paired box 9 (PAX9)
SUB1	10923	PC4	Homo sapiens	SUB1 homolog, transcriptional regulator (SUB1)
POU1F1	5449	Pou	Homo sapiens	POU class 1 homeobox 1 (POU1F1)
POU2F1	5451	Pou	Homo sapiens	POU class 2 homeobox 1 (POU2F1)
